Name,Country,ID,Temperature,Latitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Cape Town,ZA,3369157,66.2,-33.93,100,75,11.41
Srednekolymsk,RU,2121025,-16.69,67.46,72,44,3.49
Praya,ID,1630662,89.6,-8.71,62,40,4.7
Touros,BR,3386213,75.2,-5.2,100,40,4.72
Saldanha,PT,2737599,32.19,41.42,77,0,4.16
Hermanus,ZA,3366880,58.06,-34.42,95,88,1.92
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Avarua,CK,4035715,82.4,-21.21,69,92,11.41
Lompoc,US,5367788,48.88,34.64,65,1,4.94
Bluff,AU,2175403,87.67,-23.58,47,8,6.96
Avarua,CK,4035715,82.4,-21.21,69,92,11.41
Yellowknife,CA,6185377,-22.01,62.45,74,5,6.93
Mendoza,AR,3844421,69.8,-32.89,64,0,5.82
Saint-Philippe,CA,6138908,23.31,45.36,68,1,3.36
Faanui,PF,4034551,83.76,-16.48,99,24,12.66
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Viedma,AR,3832899,58.74,-40.81,37,0,14.56
Hobart,AU,2163355,73.4,-42.88,43,0,14.99
Aswan,EG,359792,53.6,24.09,40,0,9.17
Castro,CL,3896218,42.8,-42.48,87,20,6.93
Tuatapere,NZ,2180815,51.76,-46.13,100,88,13.11
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Torbay,CA,6167817,6.8,47.66,65,75,20.8
Jacksonville,US,4160021,69.03,30.33,100,90,6.96
Hilo,US,5855927,71.6,19.71,94,90,9.17
Hobart,AU,2163355,73.4,-42.88,43,0,14.99
Sikonge,TZ,149929,66.2,-5.63,100,40,2.93
Lebu,ET,344979,57.2,8.96,82,75,69.12
Bluff,AU,2175403,87.67,-23.58,47,8,6.96
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Svetlogorsk,RU,584051,8.6,53.14,71,20,13.42
Albany,US,5106834,32.34,42.65,74,90,5.82
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Rawson,AR,3839307,50.14,-43.3,34,0,7.74
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Axim,GH,2303611,83.44,4.87,96,48,16.24
Mataura,NZ,6201424,54.51,-46.19,60,88,15.01
Sao Filipe,CV,3374210,73.86,14.9,85,0,13.56
Rikitea,PF,4030556,81.01,-23.12,98,68,12.44
Bull Savanna,JM,3491161,75.07,17.89,71,0,7.18
Busselton,AU,2075265,71.25,-33.64,93,0,11.77
Grand-Lahou,CI,2288105,76.74,5.24,91,0,5.61
Aykhal,RU,2027296,3.97,65.95,74,68,4.72
Semey,KZ,1519422,14.0,50.41,72,0,13.42
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Snyder,US,5530921,43.79,32.72,52,1,8.05
Khatanga,RU,2022572,-5.53,71.98,83,80,21.27
Chuy,UY,3443061,71.02,-33.69,100,80,4.5
Upernavik,GL,3418910,3.57,72.79,100,32,23.29
Bambous Virieux,MU,1106677,80.6,-20.34,88,40,5.17
Kapaa,US,5848280,75.2,22.08,60,1,13.87
Okha,RU,2122614,8.56,53.59,100,0,9.19
Kaitangata,NZ,2208248,51.9,-46.28,71,92,14.67
Zhoucheng,CN,6957977,50.0,31.35,57,0,6.71
Qaqortoq,GL,3420846,19.4,60.72,48,32,5.82
Hobart,AU,2163355,73.4,-42.88,43,0,14.99
Kloulklubed,PW,7671223,84.2,7.04,58,75,5.82
Erenhot,CN,2037485,29.71,43.65,39,0,5.17
Poum,MK,787487,21.2,41.28,48,75,6.93
Soria,ES,3108681,27.51,41.76,65,0,3.38
Twentynine Palms,US,5404198,49.32,34.14,46,1,5.82
Hermanus,ZA,3366880,58.06,-34.42,95,88,1.92
San Quintin,PH,1688687,81.51,17.54,50,0,3.38
Bambanglipuro,ID,1650434,82.14,-7.95,95,36,4.16
La Ceiba,CR,3623781,71.6,9.9,73,0,14.99
Naze,NG,2337542,74.62,5.43,94,8,5.06
Khatanga,RU,2022572,-5.53,71.98,83,80,21.27
Okhotsk,RU,2122605,6.45,59.36,94,0,5.95
Nikolskoye,RU,546105,33.8,59.7,100,90,6.71
Ushuaia,AR,3833367,37.4,-54.81,74,75,20.8
Atuona,PF,4020109,81.91,-9.8,99,0,14.45
Upernavik,GL,3418910,3.57,72.79,100,32,23.29
Hithadhoo,MV,1282256,83.04,-0.6,100,56,8.52
Abu Samrah,SY,172515,45.42,35.3,96,64,3.04
Hithadhoo,MV,1282256,83.04,-0.6,100,56,8.52
Okhotsk,RU,2122605,6.45,59.36,94,0,5.95
Marsh Harbour,BS,3571913,75.34,26.54,100,76,14.0
Provideniya,RU,4031574,32.23,64.42,95,92,32.68
